Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Alaa Abdelnaby\abdelal01,1993,1994,2,76,1311,243,472,0,0,92,125,126,346,20,21,25,101,185,578,0.515,,0.736,17.3,7.6,4.6,0.3
2,Zaid Abdul-Aziz\abdulza01,1978,1978,1,2,24,3,13,,,2,3,6,15,3,1,1,3,4,8,0.231,,0.667,12,4,7.5,1.5
3,Mark Acres\acresma01,1988,1989,2,141,1783,163,317,1,1,97,159,164,416,61,48,33,77,292,424,0.514,1,0.61,12.6,3,3,0.4
4,Danny Ainge\aingeda01,1982,1989,8,556,15603,2537,5210,348,901,835,963,405,1534,2422,671,58,875,1420,6257,0.487,0.386,0.867,28.1,11.3,2.8,4.4
5,Kadeem Allen\allenka01,2018,2018,1,18,107,6,22,0,11,7,9,4,11,12,3,2,9,15,19,0.273,0,0.778,5.9,1.1,0.6,0.7
6,Ray Allen\allenra02,2008,2012,5,358,12774,2108,4470,798,1949,973,1064,251,1215,981,324,78,575,716,5987,0.472,0.409,0.914,35.7,16.7,3.4,2.7
7,Tony Allen\allento01,2005,2010,6,336,6194,881,1846,55,187,606,829,260,873,439,351,117,471,744,2423,0.477,0.294,0.731,18.4,7.2,2.6,1.3
8,Jerome Anderson\anderje01,1976,1976,1,22,126,25,45,,,11,16,4,13,6,3,3,,25,61,0.556,,0.688,5.7,2.8,0.6,0.3
9,Kenny Anderson\anderke01,1998,2002,5,241,7268,1059,2433,121,337,478,606,155,715,1250,383,22,401,616,2717,0.435,0.359,0.789,30.2,11.3,3,5.2
10,Joel Anthony\anthojo01,2014,2014,1,21,149,10,26,0,0,2,6,13,31,2,3,8,2,13,22,0.385,,0.333,7.1,1,1.5,0.1
11,Tiny Archibald\architi01,1979,1983,5,363,11324,1567,3338,15,67,1401,1773,170,683,2563,326,41,1045,792,4550,0.469,0.224,0.79,31.2,12.5,1.9,7.1
12,Jim Ard\ardji01,1975,1978,4,204,2550,292,815,,,169,243,233,788,142,43,96,0,366,753,0.358,,0.695,12.5,3.7,3.9,0.7
13,Carlos Arroyo\arroyca01,2011,2011,1,15,190,11,35,3,5,11,12,7,23,25,7,0,17,11,36,0.314,0.6,0.917,12.7,2.4,1.5,1.7
14,Chucky Atkins\atkinch01,2004,2004,1,24,793,104,249,39,111,42,54,3,45,128,26,1,44,42,289,0.418,0.351,0.778,33,12,1.9,5.3
15,Dennis Awtrey\awtrede01,1979,1979,1,23,247,17,44,,,16,20,13,47,20,3,6,21,37,50,0.386,,0.8,10.7,2.2,2,0.9
16,Chris Babb\babbch01,2014,2014,1,14,132,8,30,6,27,0,0,4,17,3,6,0,3,13,22,0.267,0.222,,9.4,1.6,1.2,0.2
17,Johnny Bach\bachjo01,1949,1949,1,34,,34,119,,,51,75,,,25,,,,24,119,0.286,,0.68,,3.5,,0.7
18,John Bagley\baglejo01,1990,1993,3,137,2934,332,749,11,61,102,140,65,257,796,99,8,255,211,777,0.443,0.18,0.729,21.4,5.7,1.9,5.8
19,Vin Baker\bakervi01,2003,2004,2,89,1942,267,540,0,5,154,219,166,408,83,44,53,113,244,688,0.494,0,0.703,21.8,7.7,4.6,0.9
20,Marcus Banks\banksma01,2004,2006,3,180,2799,325,808,54,164,247,324,63,278,362,158,26,227,355,951,0.402,0.329,0.762,15.6,5.3,1.5,2
21,Leandro Barbosa\barbole01,2013,2013,1,41,513,83,193,18,47,31,41,8,46,58,17,6,21,51,215,0.43,0.383,0.756,12.5,5.2,1.1,1.4
22,Tom Barker\barketo01,1979,1979,1,12,131,21,48,,,11,15,12,30,6,4,4,13,26,53,0.438,,0.733,10.9,4.4,2.5,0.5
23,Don Barksdale\barksdo01,1954,1955,2,135,3148,423,1114,,,369,563,,890,246,,,,438,1215,0.38,,0.655,23.3,9,6.6,1.8
24,Jim Barnes\barneji01,1969,1970,2,126,1644,270,636,,,160,220,,544,79,,,,336,700,0.425,,0.727,13,5.6,4.3,0.6
25,Marvin Barnes\barnema01,1979,1979,1,38,796,133,271,,,43,66,57,177,53,38,39,68,144,309,0.491,,0.652,20.9,8.1,4.7,1.4
26,Jim Barnett\barneji02,1967,1967,1,48,383,78,211,,,42,62,,53,41,,,,61,198,0.37,,0.677,8,4.1,1.1,0.9
27,Ernie Barrett\barreer01,1954,1956,2,131,2092,267,724,,,107,143,,343,229,,,,300,641,0.369,,0.748,16,4.9,2.6,1.7
28,Dana Barros\barroda01,1996,2004,6,307,7028,1136,2477,416,1023,421,485,83,597,1014,250,24,420,420,3109,0.459,0.407,0.868,22.9,10.1,1.9,3.3
29,Brandon Bass\bassbr01,2012,2015,4,304,8302,1285,2629,11,40,635,766,524,1658,330,155,221,330,653,3216,0.489,0.275,0.829,27.3,10.6,5.5,1.1
30,Tony Battie\battito01,1999,2004,6,336,7474,940,1819,3,22,386,562,692,1975,237,204,369,272,1005,2269,0.517,0.136,0.687,22.2,6.8,5.9,0.7
31,Kenny Battle\battlke01,1992,1993,2,11,75,9,17,0,1,10,10,10,20,2,2,0,4,6,28,0.529,0,1,6.8,2.5,1.8,0.2
32,Jerryd Bayless\bayleje01,2014,2014,1,41,1036,158,378,51,129,49,61,14,86,128,40,4,60,89,416,0.418,0.395,0.803,25.3,10.1,2.1,3.1
33,Aron Baynes\baynear01,2018,2019,2,132,2306,315,669,24,82,112,140,218,674,150,34,85,120,325,766,0.471,0.293,0.8,17.5,5.8,5.1,1.1
34,Moe Becker\beckemo01,1947,1947,1,6,,5,22,,,3,4,,,1,,,,15,13,0.227,,0.75,,2.2,,0.2
35,Hank Beenders\beendha01,1949,1949,1,8,,6,28,,,7,9,,,3,,,,9,19,0.214,,0.778,,2.4,,0.4
36,Bob Bigelow\bigelbo01,1978,1978,1,4,17,3,12,,,0,0,1,4,0,0,0,0,1,6,0.25,,,4.3,1.5,1,0
37,Chauncey Billups\billuch01,1998,1998,1,51,1296,177,454,64,189,147,180,40,113,217,77,2,118,118,565,0.39,0.339,0.817,25.4,11.1,2.2,4.3
38,Dave Bing\bingda01,1978,1978,1,80,2256,422,940,,,244,296,76,212,300,79,18,216,247,1088,0.449,,0.824,28.2,13.6,2.7,3.8
39,Jabari Bird\birdja01,2018,2018,1,13,115,15,26,3,7,6,13,6,19,8,3,1,8,7,39,0.577,0.429,0.462,8.8,3,1.5,0.6
